City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
276,Ancud,-41.8697,-73.8203,51.33,74,100,5.88,CL,2021-12-02 00:56:28
277,Moree,-29.4667,149.85,84.22,54,9,8.05,AU,2021-12-02 00:56:29
278,Cartagena,10.3997,-75.5144,80.22,83,75,5.75,CO,2021-12-02 00:54:53
279,Hay River,60.8156,-115.7999,6.78,85,90,3.44,CA,2021-12-02 00:56:30
280,Joao Pinheiro,-17.7425,-46.1725,72.37,83,99,2.35,BR,2021-12-02 00:52:07
281,Mecca,21.4267,39.8261,72.14,71,0,2.19,SA,2021-12-02 00:56:32
282,Chapais,49.7834,-74.8492,4.78,90,100,5.91,CA,2021-12-02 00:56:32
283,Komsomolskiy,40.4272,71.7189,35.02,69,9,4.61,UZ,2021-12-02 00:56:33
284,Bahir Dar,11.5936,37.3908,58.78,47,0,3.56,ET,2021-12-02 00:56:34
285,Kastamonu,41.5,33.6667,31.05,93,99,2.95,TR,2021-12-02 00:56:34
286,Faya,18.3851,42.4509,48.31,56,9,3.27,SA,2021-12-02 00:56:35
287,Seddon,-37.8068,144.8916,92.61,43,0,8.01,AU,2021-12-02 00:56:36
288,Beyneu,45.3167,55.2,41.63,89,100,14.58,KZ,2021-12-02 00:56:36
289,Maniitsoq,65.4167,-52.9,35.42,65,100,16.62,GL,2021-12-02 00:56:23
290,Vilhena,-12.7406,-60.1458,69.93,99,100,3.6,BR,2021-12-02 00:56:38
291,Mizan Teferi,6.9833,35.5833,62.67,70,91,2.77,ET,2021-12-02 00:56:39
292,Nishihara,26.1842,127.7558,63.68,63,75,5.75,JP,2021-12-02 00:56:40
293,Guanica,17.9716,-66.908,79.92,84,81,6.69,PR,2021-12-02 00:56:40
