City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
226,Villa Carlos Paz,AR,2021-12-03 20:27:47,-31.4241,-64.4978,80.89,27,49,11.99,scattered clouds
227,Saint-Georges,GD,2021-12-03 20:25:53,12.0564,-61.7485,85.68,70,40,12.66,scattered clouds
228,Port-Gentil,GA,2021-12-03 20:27:47,-0.7193,8.7815,76.96,88,40,2.3,moderate rain
229,Majene,ID,2021-12-03 20:27:48,-3.5403,118.9707,77.9,85,85,3.18,light rain
230,Tommot,RU,2021-12-03 20:27:48,58.9564,126.2925,-10.34,85,100,3.53,overcast clouds
231,Marsaxlokk,MT,2021-12-03 20:27:49,35.8419,14.5431,56.08,76,20,14.97,few clouds
232,Rapid Valley,US,2021-12-03 20:27:49,44.0625,-103.1463,53.2,64,90,4.61,overcast clouds
233,Sao Joao Da Barra,BR,2021-12-03 20:27:49,-21.6403,-41.0511,71.69,79,95,8.14,moderate rain
234,Zhovtneve,UA,2021-12-03 20:27:50,50.6637,24.2492,30.72,68,8,12.86,clear sky
235,La Ronge,CA,2021-12-03 20:27:50,55.1001,-105.2842,10.65,72,90,8.05,light snow
236,Ca Mau,VN,2021-12-03 20:27:50,9.1769,105.15,71.1,84,98,5.99,overcast clouds
237,Lebu,CL,2021-12-03 20:27:51,-37.6167,-73.65,56.91,70,0,18.77,clear sky
238,Hay River,CA,2021-12-03 20:27:51,60.8156,-115.7999,-5.82,77,75,16.11,broken clouds
239,Katsuura,JP,2021-12-03 20:27:04,35.1333,140.3,46.51,63,0,10.8,clear sky
240,Havre-Saint-Pierre,CA,2021-12-03 20:27:52,50.2334,-63.5986,30.56,69,90,17.27,overcast clouds
241,Maiduguri,NG,2021-12-03 20:27:52,11.8464,13.1603,75.96,26,2,9.31,clear sky
242,Batemans Bay,AU,2021-12-03 20:27:52,-35.7167,150.1833,63.1,93,100,1.59,overcast clouds
243,Rawson,AR,2021-12-03 20:27:53,-43.3002,-65.1023,68.77,34,3,22.53,clear sky
244,Yerraguntla,IN,2021-12-03 20:27:53,14.6372,78.5395,72.37,74,57,2.15,broken clouds
245,Porto Belo,BR,2021-12-03 20:27:53,-27.1578,-48.5531,76.96,70,100,7.31,overcast clouds
246,Luderitz,NA,2021-12-03 20:27:54,-26.6481,15.1594,61.11,85,29,10.27,scattered clouds
247,Lorengau,PG,2021-12-03 20:27:54,-2.0226,147.2712,82.38,79,56,10.38,broken clouds
248,Bairiki,KI,2021-12-03 20:27:54,1.3292,172.9752,84.2,70,40,5.75,scattered clouds
249,Sabang,ID,2021-12-03 20:27:55,5.8933,95.3214,78.84,81,100,20.15,moderate rain
250,Ostrovnoy,RU,2021-12-03 20:27:55,68.0531,39.5131,22.91,67,100,11.36,light snow
251,Poum,NC,2021-12-03 20:27:55,-20.2333,164.0167,79.39,78,45,12.77,scattered clouds
252,Burnie,AU,2021-12-03 20:27:56,-41.0667,145.9167,54.37,79,60,16.15,broken clouds
253,Meulaboh,ID,2021-12-03 20:27:56,4.1363,96.1285,76.1,85,98,3.24,overcast clouds
254,Tomatlan,MX,2021-12-03 20:27:56,19.9333,-105.25,89.1,51,4,8.34,clear sky
255,Ancud,CL,2021-12-03 20:27:57,-41.8697,-73.8203,63.93,63,1,6.67,clear sky
256,Ambilobe,MG,2021-12-03 20:27:57,-13.2,49.05,77.43,71,2,6.02,clear sky
257,Coihaique,CL,2021-12-03 20:27:58,-45.5752,-72.0662,67.95,30,20,8.05,few clouds
258,Matagami,CA,2021-12-03 20:27:58,49.7502,-77.6328,5.11,72,75,8.05,broken clouds
